iter	Passed	Remaining
535	5775	4999
536	5794	4996
537	5817	4995
538	5841	4996
539	5860	4992
540	5877	4986
541	5897	4983
542	5913	4977
543	5930	4971
544	5945	4964
545	5963	4958
546	6003	4971
547	6024	4969
548	6040	4962
549	6060	4958
550	6081	4956
551	6095	4947
552	6108	4937
553	6127	4933
554	6141	4924
555	6165	4923
556	6185	4919
557	6218	4926
558	6249	4930
559	6278	4932
560	6325	4949
561	6347	4947
562	6367	4942
563	6383	4934
564	6400	4927
565	6414	4918
566	6428	4909
567	6444	4901
568	6466	4897
569	6482	4890
570	6494	4879
571	6505	4867
572	6515	4855
573	6525	4842
574	6533	4829
575	6541	4815
576	6550	4801
577	6556	4786
578	6566	4774
579	6576	4762
580	6585	4749
581	6594	4735
582	6601	4721
583	6608	4707
584	6614	4692
585	6622	4678
586	6628	4663
587	6636	4649
588	6643	4635
589	6649	4621
590	6656	4606
591	6662	4591
592	6668	4577
593	6674	4562
594	6683	4549
595	6695	4538
596	6702	4524
597	6709	4510
598	6716	4496
599	6723	4482
600	6729	4467
601	6735	4453
602	6742	4439
603	6749	4425
604	6755	4410
605	6761	4395
606	6767	4381
607	6774	4367
608	6780	4353
609	6786	4338
610	6792	4324
611	6798	4310
612	6806	4296
613	6812	4282
614	6818	4268
615	6824	4254
616	6830	4239
617	6836	4225
618	6843	4211
619	6848	4197
620	6854	4183
621	6861	4169
622	6868	4156
623	6874	4142
624	6880	4128
625	6886	4114
626	6893	4101
627	6900	4087
628	6906	4073
629	6913	4060
630	6920	4047
631	6928	4034
632	6935	4021
633	6942	4007
634	6950	3994
635	6958	3982
636	6965	3969
637	6972	3956
638	6980	3943
639	6987	3930
640	6995	3917
641	7002	3904
642	7011	3892
643	7022	3881
644	7039	3874
645	7055	3866
646	7069	3857
647	7082	3847
648	7093	3836
649	7115	3831
650	7131	3822
651	7146	3814
652	7167	3809
653	7185	3801
654	7198	3791
655	7210	3781
656	7223	3771
657	7239	3763
658	7261	3757
659	7286	3753
660	7305	3746
661	7321	3738
662	7344	3733
663	7365	3726
664	7386	3720
665	7398	3710
666	7409	3699
667	7421	3688
668	7433	3677
669	7448	3668
670	7460	3657
671	7475	3648
672	7487	3637
673	7497	3626
674	7509	3615
675	7519	3604
676	7531	3593
677	7540	3581
678	7548	3568
679	7555	3555
680	7563	3542
681	7570	3530
682	7577	3516
683	7583	3503
684	7594	3492
685	7601	3479
686	7608	3466
687	7615	3453
688	7621	3440
689	7628	3427
690	7635	3414
691	7642	3401
692	7650	3389
693	7658	3376
694	7664	3363
695	7671	3350
696	7679	3338
697	7687	3326
698	7696	3314
699	7702	3301
700	7710	3288
701	7718	3276
702	7724	3263
703	7731	3250
704	7738	3238
705	7745	3225
706	7751	3212
707	7759	3200
708	7765	3187
709	7772	3174
710	7778	3161
711	7785	3149
712	7792	3136
713	7799	3124
714	7805	3111
715	7812	3098
716	7818	3085
717	7824	3073
718	7832	3060
719	7839	3048
720	7846	3036
721	7852	3023
722	7859	3011
723	7866	2998
724	7872	2986
725	7880	2974
726	7888	2962
727	7897	2950
728	7906	2939
729	7918	2928
730	7926	2917
731	7936	2905
732	7944	2893
733	7952	2882
734	7961	2870
735	7970	2859
736	7980	2847
737	7988	2835
738	7997	2824
739	8005	2812
740	8013	2800
741	8021	2789
742	8030	2777
743	8038	2765
744	8046	2754
745	8053	2742
746	8062	2730
747	8069	2718
748	8076	2706
749	8084	2694
750	8093	2683
751	8102	2672
752	8110	2660
753	8118	2648
754	8127	2637
755	8135	2625
756	8143	2614
757	8152	2602
758	8160	2591
759	8168	2579
760	8176	2567
761	8185	2556
762	8193	2545
763	8202	2533
764	8213	2523
765	8221	2511
766	8232	2500
767	8241	2489
768	8249	2478
769	8259	2466
770	8269	2456
771	8278	2445
772	8288	2434
773	8298	2422
774	8308	2412
775	8316	2400
776	8325	2389
777	8335	2378
778	8344	2367
779	8353	2356
780	8364	2345
781	8373	2334
782	8382	2323
783	8394	2312
784	8402	2301
785	8412	2290
786	8422	2279
787	8433	2269
788	8443	2257
789	8461	2249
790	8477	2239
791	8510	2235
792	8540	2229
793	8573	2224
794	8610	2220
795	8630	2211
796	8671	2208
797	8693	2200
798	8709	2191
799	8726	2181
800	8744	2172
801	8757	2162
802	8771	2151
803	8784	2141
804	8795	2130
805	8809	2120
806	8824	2110
807	8848	2102
808	8868	2093
809	8885	2084
810	8912	2077
811	8944	2070
812	8959	2060
813	8972	2050
814	8983	2039
815	8994	2028
816	9004	2017
817	9019	2006
818	9033	1996
819	9044	1985
820	9057	1974
821	9067	1963
822	9078	1952
823	9089	1941
824	9100	1930
825	9109	1918
826	9119	1907
827	9128	1896
828	9137	1884
829	9145	1873
830	9156	1862
831	9164	1850
832	9173	1839
833	9182	1827
834	9191	1816
835	9199	1804
836	9208	1793
837	9217	1781
838	9225	1770
839	9233	1758
840	9242	1747
841	9250	1735
842	9258	1724
843	9266	1712
844	9274	1701
845	9282	1689
846	9290	1678
847	9298	1666
848	9306	1655
849	9314	1643
850	9322	1632
851	9330	1620
852	9338	1609
853	9346	1597
854	9353	1586
855	9360	1574
856	9369	1563
857	9377	1552
858	9385	1540
859	9394	1529
860	9403	1518
861	9410	1506
862	9417	1494
863	9428	1484
864	9437	1472
865	9445	1461
866	9461	1451
867	9470	1440
868	9480	1429
869	9489	1417
870	9498	1406
871	9506	1395
872	9515	1384
873	9523	1372
874	9532	1361
875	9540	1350
876	9548	1339
877	9555	1327
878	9564	1316
879	9572	1305
880	9581	1294
881	9589	1282
882	9598	1271
883	9607	1260
884	9614	1249
885	9622	1238
886	9631	1227
887	9645	1216
888	9658	1205
889	9673	1195
890	9688	1185
891	9705	1175
892	9751	1168
893	9766	1158
894	9786	1148
895	9805	1138
896	9833	1129
897	9859	1119
898	9875	1109
899	9896	1099
900	9916	1089
901	9933	1079
902	9954	1069
903	9967	1058
904	9980	1047
905	9997	1037
906	10016	1027
907	10029	1016
908	10039	1005
909	10055	994
910	10066	983
911	10078	972
912	10089	961
913	10099	950
914	10111	939
915	10122	928
916	10131	917
917	10142	906
918	10153	894
919	10163	883
920	10175	872
921	10185	861
922	10196	850
923	10205	839
